framework,scenario,run,value,status,hwnd,focusHwnd,queryFocus,windowDpi,windowLeft,windowTop,windowWidth,windowHeight,query,resultCount,workingSetBytes,privateBytes,handleCount,userObjects,gdiObjects
avalonia,hotkey-visible,95,11.795,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,96,12.531,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,97,12.692,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,98,12.619,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,99,13.801,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,100,12.735,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,keyboard-flow,1,0.000,pass,0,0,False,0,0,0,0,0,"quail",8,,,,,
avalonia,keyboard-flow,2,0.000,pass,0,0,False,0,0,0,0,0,"quail",8,,,,,
avalonia,keyboard-flow,3,0.000,pass,0,0,False,0,0,0,0,0,"quail",8,,,,,
avalonia,keyboard-flow,4,0.000,pass,0,0,False,0,0,0,0,0,"quail",8,,,,,
avalonia,keyboard-flow,5,0.000,pass,0,0,False,0,0,0,0,0,"quail",8,,,,,
avalonia,keyboard-flow,6,0.000,pass,0,0,False,0,0,0,0,0,"quail",8,,,,,
avalonia,keyboard-flow,7,0.000,pass,0,0,False,0,0,0,0,0,"quail",8,,,,,
avalonia,keyboard-flow,8,0.000,pass,0,0,False,0,0,0,0,0,"quail",8,,,,,
avalonia,keyboard-flow,9,0.000,pass,0,0,False,0,0,0,0,0,"quail",8,,,,,
avalonia,keyboard-flow,10,0.000,pass,0,0,False,0,0,0,0,0,"quail",8,,,,,
avalonia,keyboard-flow,11,0.000,pass,0,0,False,0,0,0,0,0,"quail",8,,,,,
avalonia,keyboard-flow,12,0.000,pass,0,0,False,0,0,0,0,0,"quail",8,,,,,
avalonia,keyboard-flow,13,0.000,pass,0,0,False,0,0,0,0,0,"quail",8,,,,,
avalonia,keyboard-flow,14,0.000,pass,0,0,False,0,0,0,0,0,"quail",8,,,,,
avalonia,keyboard-flow,15,0.000,pass,0,0,False,0,0,0,0,0,"quail",8,,,,,
avalonia,keyboard-flow,16,0.000,pass,0,0,False,0,0,0,0,0,"quail",8,,,,,
avalonia,keyboard-flow,17,0.000,pass,0,0,False,0,0,0,0,0,"quail",8,,,,,
avalonia,keyboard-flow,18,0.000,pass,0,0,False,0,0,0,0,0,"quail",8,,,,,
avalonia,keyboard-flow,19,0.000,pass,0,0,False,0,0,0,0,0,"quail",8,,,,,
avalonia,keyboard-flow,20,0.000,pass,0,0,False,0,0,0,0,0,"quail",8,,,,,
avalonia,keyboard-flow,21,0.000,pass,0,0,False,0,0,0,0,0,"quail",8,,,,,
avalonia,keyboard-flow,22,0.000,pass,0,0,False,0,0,0,0,0,"quail",8,,,,,
avalonia,keyboard-flow,23,0.000,pass,0,0,False,0,0,0,0,0,"quail",8,,,,,
avalonia,keyboard-flow,24,0.000,pass,0,0,False,0,0,0,0,0,"quail",8,,,,,
avalonia,keyboard-flow,25,0.000,pass,0,0,False,0,0,0,0,0,"quail",8,,,,,
avalonia,keyboard-flow,26,0.000,pass,0,0,False,0,0,0,0,0,"quail",8,,,,,
avalonia,keyboard-flow,27,0.000,pass,0,0,False,0,0,0,0,0,"quail",8,,,,,
avalonia,keyboard-flow,28,0.000,pass,0,0,False,0,0,0,0,0,"quail",8,,,,,
avalonia,keyboard-flow,29,0.000,pass,0,0,False,0,0,0,0,0,"quail",8,,,,,
avalonia,keyboard-flow,30,0.000,pass,0,0,False,0,0,0,0,0,"quail",8,,,,,
avalonia,keyboard-flow,31,0.000,pass,0,0,False,0,0,0,0,0,"quail",8,,,,,
avalonia,keyboard-flow,32,0.000,pass,0,0,False,0,0,0,0,0,"quail",8,,,,,
avalonia,keyboard-flow,33,0.000,pass,0,0,False,0,0,0,0,0,"quail",8,,,,,
avalonia,keyboard-flow,34,0.000,pass,0,0,False,0,0,0,0,0,"quail",8,,,,,
avalonia,keyboard-flow,35,0.000,pass,0,0,False,0,0,0,0,0,"quail",8,,,,,
avalonia,keyboard-flow,36,0.000,pass,0,0,False,0,0,0,0,0,"quail",8,,,,,
avalonia,keyboard-flow,37,0.000,pass,0,0,False,0,0,0,0,0,"quail",8,,,,,
avalonia,keyboard-flow,38,0.000,pass,0,0,False,0,0,0,0,0,"quail",8,,,,,
avalonia,keyboard-flow,39,0.000,pass,0,0,False,0,0,0,0,0,"quail",8,,,,,
avalonia,keyboard-flow,40,0.000,pass,0,0,False,0,0,0,0,0,"quail",8,,,,,
avalonia,keyboard-flow,41,0.000,pass,0,0,False,0,0,0,0,0,"quail",8,,,,,
avalonia,keyboard-flow,42,0.000,pass,0,0,False,0,0,0,0,0,"quail",8,,,,,
avalonia,keyboard-flow,43,0.000,pass,0,0,False,0,0,0,0,0,"quail",8,,,,,
avalonia,keyboard-flow,44,0.000,pass,0,0,False,0,0,0,0,0,"quail",8,,,,,
avalonia,keyboard-flow,45,0.000,pass,0,0,False,0,0,0,0,0,"quail",8,,,,,
avalonia,keyboard-flow,46,0.000,pass,0,0,False,0,0,0,0,0,"quail",8,,,,,
avalonia,keyboard-flow,47,0.000,pass,0,0,False,0,0,0,0,0,"quail",8,,,,,
avalonia,keyboard-flow,48,0.000,pass,0,0,False,0,0,0,0,0,"quail",8,,,,,
avalonia,keyboard-flow,49,0.000,pass,0,0,False,0,0,0,0,0,"quail",8,,,,,
avalonia,keyboard-flow,50,0.000,pass,0,0,False,0,0,0,0,0,"quail",8,,,,,
avalonia,summon-escape-lifecycle,1,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,2,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,3,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,4,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,5,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,6,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,7,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,8,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,9,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,10,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,11,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,12,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,13,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,14,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,15,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,16,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,17,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,18,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,19,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,20,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,summon-escape-lifecycle,21,0.000,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
